,0
0,0.0
1,248721.90155700652
2,0.0
3,85859.3944422052
4,66473.75851052687
5,7892.961656441717
6,29330.19268190494
7,40524.52868852459
8,18309.16906638869
9,41514.814911707
10,56767.441860465115
11,69177.90806368772
12,18748.166161309884
13,18574.628205128207
14,69670.9238498149
15,24937.921000658327
16,29164.10028729517
17,54048.77337807606
18,26302.044091181764
19,31603.089989888776
20,27572.7959299039
21,0.0
22,22803.950607902734
23,55091.237843396506
24,338671.5313531353
25,41365.46153377225
26,33642.479190314036
27,7473.164797913951
28,28385.48595505618
29,12068.518628420705
30,19853.71306514774
31,42561.26472134595
32,32655.687105500452
33,21463.861975308642
34,18584.001510288843
35,54650.93664921466
36,81562.54981818181
37,19079.015830388693
38,115830.81003465918
39,15028.8064733648
40,80444.17510729613
41,0.0
42,0.0
43,119629.45583038869
44,72054.42947461281
45,512864.03319502075
46,362957.9650273224
47,456350.5810564663
48,61411.2226772586
49,0.0
