,0
0,0.0
1,481681.3070197352
2,88694.13546337817
3,66622.65905091187
4,55345.84249587176
5,6727.977867203219
6,36897.309640400155
7,61275.17009400705
8,17687.16464362494
9,49117.38938627222
10,60570.203853325045
11,60303.71619047619
12,0.0
13,56720.170454545456
14,56608.74244920373
15,20082.683785669204
16,21235.386823243312
17,45480.89445872608
18,26587.858766943595
19,35631.2086100861
20,34650.85936354675
21,148322.50006447453
22,23977.80310365409
23,35447.122589757906
24,149795.7476149176
25,44801.53683776966
26,60488.606307186
27,14843.968981710332
28,25027.901538461538
29,13268.028176898675
30,0.0
31,62827.13896725132
32,35747.89746357258
33,21997.59763539283
34,15525.794775741622
35,45000.0903164471
36,72852.90731145654
37,29559.021426024956
38,61446.656873230575
39,11482.330620549339
40,50690.70884343943
41,85103.65625
42,92484.37141324751
43,118083.78333333334
44,722161.7915876573
45,772286.9875457876
46,873996.76
47,541861.1066666667
48,0.0
49,0.0
