,0
0,0.0
1,528460.3915840257
2,111401.79166666667
3,77350.61918336971
4,47642.76032473449
5,5284.504581005586
6,32243.827667244685
7,44658.86444687045
8,18026.12448922734
9,41054.552252631576
10,50367.824537354354
11,48016.885257676426
12,0.0
13,13934.202470830474
14,49196.44138921097
15,20650.30756648375
16,20302.02247276029
17,43887.60850310009
18,37014.43104056438
19,28991.390630503698
20,32903.355219748526
21,0.0
22,23454.179252806578
23,29298.8196776101
24,182958.12365591398
25,34823.27763606851
26,42684.061795396796
27,8642.913268913504
28,22300.695144525132
29,11486.993863148205
30,10255.23526844173
31,49974.97826581702
32,19707.59144334744
33,17847.57561765897
34,11027.428832255611
35,38861.314666748985
36,38449.29453460175
37,32479.034363802275
38,56972.76351228939
39,8621.22768749457
40,48512.9593069047
41,0.0
42,174621.8640742062
43,136677.63607594935
44,575267.3982565703
45,817693.8132205995
46,993242.2347789825
47,400305.1735015773
48,0.0
49,0.0
