,0
0,0.0
1,407898.64216497284
2,0.0
3,85464.09123902222
4,65287.08459920091
5,6576.929756762901
6,43833.17372726398
7,54765.00965692503
8,22248.382829044185
9,40150.689035626536
10,58246.81010830325
11,53512.90063492063
12,36217.036717062634
13,18337.82869379015
14,59617.977678946045
15,25696.614362986573
16,23708.196045423418
17,42377.75972083749
18,30230.01317674019
19,24987.66907430469
20,32631.34291206464
21,0.0
22,24030.800704914822
23,37414.02120375483
24,307793.24655172415
25,35913.23164931225
26,47795.431723384056
27,7536.766823728404
28,24176.609810314167
29,20322.151299656696
30,23717.764524647886
31,0.0
32,27772.326984126983
33,18725.54982964225
34,17767.185196021066
35,41596.301239378685
36,52579.20361328125
37,35734.246492637794
38,74066.1167225852
39,12948.654029728625
40,60386.58418891171
41,0.0
42,0.0
43,111178.38323353294
44,53835.223631260356
45,817335.9773679799
46,968761.8206195099
47,537945.3973509934
48,61821.58665677781
49,0.0
