,0
0,0.0
1,480596.07399287476
2,0.0
3,77435.97547557615
4,60485.868714509095
5,4858.264186633039
6,39839.83148283029
7,52274.56565389696
8,16361.972914409534
9,30538.57007666507
10,62732.208333333336
11,61791.47112624341
12,30501.80594522378
13,21365.358133669608
14,58245.453939631516
15,23751.765334702643
16,23594.709662448564
17,46958.70527097253
18,26429.277410832234
19,25277.76057142857
20,30811.541196907252
21,0.0
22,27255.058814436972
23,34669.63870281346
24,323964.736328125
25,37598.94628051367
26,49033.71265292442
27,9404.166361974407
28,20237.53039832285
29,14489.236671545055
30,24716.077547863082
31,0.0
32,42408.53761283852
33,20197.905799648506
34,21112.098476361192
35,48737.89952507247
36,64077.66249409542
37,31002.763747190038
38,66650.15931710861
39,10942.183695360687
40,55994.92736119559
41,0.0
42,0.0
43,175786.9203539823
44,57269.50337732706
45,723624.7787934187
46,866835.2344475394
47,518997.6506639428
48,61761.892105022416
49,0.0
