,0
0,0.0
1,519488.74292986427
2,69588.75596042279
3,56758.37204762834
4,44700.65020632528
5,3170.6387782204515
6,33521.891915652355
7,38685.73191587705
8,18038.22996805999
9,41635.82153149444
10,48101.08151835719
11,48063.68781163435
12,0.0
13,13229.36215334421
14,50641.887616364525
15,20968.133639292446
16,20998.99352989837
17,42680.8148923445
18,33719.771570576544
19,30938.015942678012
20,34206.22972150358
21,18404.02765957447
22,22166.526982304473
23,29930.36587109205
24,146925.94690265486
25,33643.23842752242
26,42404.95913605036
27,10320.193559042114
28,21058.773182411842
29,10289.09799369922
30,0.0
31,47553.041900749064
32,18494.638116154223
33,17174.85335631052
34,12258.763556008838
35,38913.025590769576
36,59673.31103971963
37,29495.74645535738
38,59319.93117226268
39,8813.876783505155
40,35752.76890378076
41,0.0
42,197328.63183279743
43,107274.85537190082
44,624138.930121915
45,804399.4546862897
46,852746.1417748918
47,429495.51707317075
48,0.0
49,0.0
