,0
0,0.0
1,312359.94811320753
2,0.0
3,97722.97628930818
4,59352.57122708039
5,3259.7575442247658
6,16861.030249372878
7,25585.37987012987
8,11772.94886854379
9,57737.327971403036
10,44902.085626911314
11,91809.32486486486
12,0.0
13,19186.992831541218
14,94589.56679764243
15,30441.533163728876
16,37331.80896163134
17,64862.71845064557
18,20013.866389274157
19,38092.725198755616
20,19333.893098782137
21,0.0
22,34885.5136
23,54239.22449373192
24,438872.23
25,50433.3330674567
26,27040.69385210126
27,6817.194532071504
28,38209.58462259728
29,7183.026297577855
30,14215.14478619655
31,69623.95919225915
32,29513.84398782344
33,25836.37316561845
34,19231.47453954496
35,79249.05828137706
36,68193.73880597015
37,13872.273470977794
38,159366.44812680114
39,12470.38686131387
40,71232.93644067796
41,0.0
42,0.0
43,324104.77777777775
44,229628.19343891402
45,569623.2111553785
46,593603.778761062
47,762891.7612903225
48,169165.93184523808
49,0.0
