,0
0,0.0
1,394350.75382955774
2,0.0
3,87121.82144183332
4,60127.91160775819
5,6530.6790824437885
6,42960.50844212359
7,51763.36726741354
8,21437.912907829665
9,44190.24026264736
10,56613.332585949174
11,63057.774957606256
12,29123.202739726028
13,11637.24886877828
14,59066.60459648058
15,23317.961203346484
16,23237.37975929978
17,47712.085139560266
18,27947.06627729812
19,26949.296957505656
20,34162.65040152026
21,0.0
22,27246.840991748464
23,37419.24455875014
24,366975.02158273384
25,41308.76695857659
26,52118.920392644824
27,8928.763920796411
28,25799.360957910016
29,15725.58784067086
30,25989.216663221006
31,0.0
32,33920.272300469485
33,18315.009817092076
34,16833.47918088737
35,45990.35155562458
36,49239.84328674291
37,37260.35494970884
38,68633.31025939959
39,11315.846091299802
40,58138.50631597162
41,0.0
42,0.0
43,158240.83703703704
44,62036.56886352829
45,926239.9593572778
46,1039527.5827711469
47,524718.4830421377
48,66535.61287279999
49,0.0
