,0
0,0.0
1,554819.7649046584
2,84428.12808656247
3,63219.55930137005
4,58401.534412955465
5,5268.040540540541
6,39587.51179689488
7,69787.77132701421
8,19540.692165898618
9,53759.79097938144
10,61005.494757863205
11,58483.21512938419
12,0.0
13,34364.0
14,58185.21211550534
15,24371.882528605558
16,21855.179762561318
17,42874.46730191881
18,39855.88499683478
19,34779.763715710724
20,38279.08987561856
21,87583.18730358266
22,26432.036398676413
23,37107.45452867339
24,187486.12886597938
25,39550.93600101519
26,55973.62814086498
27,14198.526021048567
28,26141.7723873442
29,13774.279688513952
30,0.0
31,59924.818415465415
32,24793.070378404434
33,21656.17024097325
34,14245.033828897
35,45716.870287749174
36,75490.63732394367
37,32038.605323169144
38,72996.24353539635
39,10296.923926767677
40,46647.43048686669
41,0.0
42,180968.25499870162
43,142393.73611111112
44,698649.4797173145
45,851820.0775862068
46,911661.1490524781
47,500198.63152757444
48,0.0
49,0.0
