,0
0,0.0
1,179978.81944444444
2,0.0
3,59295.21641185743
4,53395.420627159525
5,4310.8448275862065
6,18559.36786547195
7,28053.4671961326
8,10021.259821756401
9,14486.613645431573
10,51660.64117091596
11,49202.90330188679
12,0.0
13,10644.507042253521
14,55497.92306734719
15,14695.565534776902
16,20924.017292753007
17,43485.18016903731
18,21985.23441897869
19,28665.951519718663
20,18458.85023941879
21,0.0
22,17230.32372881356
23,32179.472101467807
24,331406.40684410644
25,33700.31620279478
26,25838.396648377864
27,4598.497451033002
28,19821.897622765922
29,8593.190643686246
30,14465.561880018895
31,53708.04602272727
32,15820.196837689577
33,15613.102583879676
34,14144.485182632667
35,40472.17599543856
36,15902.371928363182
37,10658.880109614067
38,95831.43264075067
39,6508.065028901734
40,34816.95756126718
41,0.0
42,0.0
43,164115.8
44,370209.58357628767
45,497547.8673780488
46,428168.75393700786
47,432590.1903807615
48,220233.27850655903
49,0.0
