,0
0,0.0
1,582777.3230602866
2,0.0
3,85266.36711711712
4,61643.5613294722
5,6414.86662122245
6,38920.90094355886
7,57333.931699477704
8,20275.66619396518
9,38919.850231094504
10,50713.4013950539
11,57485.40603222181
12,0.0
13,13060.443319838058
14,54164.820111731846
15,25403.515737128906
16,23706.20930910788
17,50110.34734411086
18,35276.42696858425
19,34162.92344
20,38699.53966474482
21,0.0
22,26925.502786506197
23,34009.99341145974
24,306994.26767676766
25,40193.57222395131
26,46443.802978297885
27,11361.16821192053
28,25526.97974537037
29,14006.707266325224
30,11368.555431630604
31,58511.44416131177
32,21861.3770638108
33,20319.90064606251
34,13879.051160190103
35,48470.14103653356
36,49595.29152754591
37,34807.40473801991
38,71111.35447419986
39,12054.293335563174
40,53456.30447470817
41,0.0
42,5002.6511627906975
43,171519.58921161827
44,723423.7223019517
45,808694.0074349443
46,1055034.1505626698
47,514160.74128312414
48,17920.708333333332
49,0.0
