,0
0,0.0
1,440587.53472906403
2,0.0
3,69001.34585334924
4,48889.02808420557
5,6062.792649371069
6,30927.48305790386
7,36135.15416309013
8,16878.496176079854
9,34078.88864759216
10,50023.98225806452
11,49134.07426505453
12,0.0
13,8725.702734839477
14,45137.04933808554
15,18721.91230037066
16,18216.471591675283
17,46644.21853388658
18,26919.43268242549
19,30015.544188224278
20,27552.618867322944
21,0.0
22,19144.57037977899
23,26929.71050989852
24,255584.74689440994
25,31891.567426027756
26,38645.20648742132
27,7596.699681453516
28,20325.943131060027
29,11910.322276124296
30,15027.984983575787
31,44705.11855245075
32,19034.108108108107
33,16951.865908533095
34,13185.001553880817
35,37530.8301661388
36,26069.646865846513
37,27962.823329068193
38,51988.978973717145
39,7947.973056342462
40,38308.32215665236
41,0.0
42,0.0
43,208850.8989361702
44,573900.2369592512
45,840738.0251954822
46,987779.2685431723
47,465397.4963190184
48,189182.71737953438
49,0.0
