,0
0,0.0
1,439118.74878286273
2,60331.517344078486
3,72110.14244986237
4,54630.49996316216
5,4301.49288935137
6,36316.30102664385
7,55507.964218455745
8,15962.44011213048
9,34401.664843862425
10,55011.32142857143
11,55884.15626635955
12,0.0
13,19067.16696588869
14,54883.386615945965
15,22841.96630743493
16,21388.806920898474
17,45801.050252130066
18,31537.400779473854
19,35079.86653705398
20,36483.22060140755
21,0.0
22,26228.429269913606
23,32335.809660704144
24,188035.3537735849
25,37711.721647954895
26,46845.4765426154
27,7107.486211458227
28,20448.805408202872
29,13638.32928197457
30,0.0
31,55533.65674846626
32,15883.653462441314
33,18310.58175066313
34,12959.629837291117
35,39470.39610850732
36,56331.60982764943
37,29254.20348058902
38,70649.57366858415
39,8191.402925833522
40,49843.802493966214
41,0.0
42,220995.35361653272
43,134475.41176470587
44,646302.4798553719
45,713048.1313742438
46,730351.4044572844
47,384186.5272978576
48,0.0
49,0.0
