,0
0,0.0
1,407364.8603996623
2,0.0
3,72782.97344876114
4,48264.70500982138
5,4848.345513513514
6,37678.248232222504
7,40038.80510599499
8,19253.562141019767
9,34194.51974992896
10,47913.66768525592
11,34699.6630353854
12,30923.86101694915
13,14461.590570719603
14,50920.85902472845
15,22710.328650186733
16,20029.448526433058
17,39210.44915254237
18,30771.538721413723
19,19546.80177561282
20,29608.82305908929
21,0.0
22,19841.380164719667
23,30390.308272312042
24,256611.90310786106
25,26573.845762563218
26,38530.49314578005
27,6920.1563617245
28,19243.352157943067
29,54654.57306590258
30,18648.55305195897
31,0.0
32,19532.759906759908
33,16629.23267326733
34,12042.76695923222
35,37121.02648171501
36,38572.134204521884
37,30016.276084702105
38,60489.89426242358
39,9600.99602601156
40,46660.860848856
41,0.0
42,0.0
43,98848.94814814815
44,48347.059873162776
45,782760.947368421
46,929968.8942353502
47,435925.40610104863
48,56781.03118496251
49,0.0
