,0
0,0.0
1,376393.54968002695
2,0.0
3,80449.95768332035
4,55264.46610169492
5,4246.749864791779
6,40166.89162410863
7,66024.09608540926
8,19159.578076154357
9,35747.01526296433
10,44539.49723247233
11,38863.433896267146
12,27191.746557878632
13,14797.220472440946
14,51288.91865539976
15,24816.64290719154
16,21496.557201730186
17,41742.318951612906
18,27667.899628252788
19,20633.837164943277
20,31069.968569669923
21,0.0
22,23561.12971445278
23,35358.04785614353
24,270865.872
25,31257.821652506216
26,44255.73787152445
27,8053.34502997003
28,20685.17691422728
29,42366.95278969957
30,18737.882309217046
31,0.0
32,29190.097672644028
33,18748.44151331875
34,16455.953041844932
35,39252.15676147035
36,49395.3191352049
37,28794.150722241135
38,67215.04693345426
39,10449.991480469378
40,51213.88519225525
41,0.0
42,0.0
43,90550.39375
44,44362.991885393705
45,693075.2029934519
46,805419.4122426868
47,357041.4652532391
48,52807.477661307574
49,0.0
